14688

O,5.92487,5.92487,5.92487
H,5.75998,6.83792,5.68955
H,6.84272,5.77984,5.69518
O,5.32179,5.32179,8.5662
H,5.53914,5.52632,7.65672
H,6.12716,4.95217,8.92812
O,7.66071,4.2387,9.64929
H,8.03033,4.60062,10.45466
H,7.45618,3.32922,9.86664
O,9.64929,4.2387,7.66071
H,8.95131,4.25234,8.31559
H,9.24946,4.61362,6.87598
O,8.5662,5.32179,5.32179
H,8.58169,4.66966,4.62128
H,8.94432,6.1074,4.92673
O,4.2387,7.66071,9.64929
H,4.60062,6.85534,9.27967
H,3.32922,7.44336,9.85382
O,4.20371,9.63809,7.64989
H,4.22695,8.98285,8.34728
H,4.58643,10.42187,8.04415
O,5.26439,8.54844,5.30462
H,4.8662,8.92706,6.08841
H,4.56904,8.57135,4.6472
O,7.59104,9.68721,4.25266
H,6.78722,9.29891,4.59812
H,7.39129,9.87671,3.33592
O,9.65672,7.66856,4.2634
H,9.00013,8.36495,4.27642
H,10.44563,8.07583,4.62115
O,11.38513,11.38513,5.92487
H,11.60951,11.60961,6.82792
H,11.94514,11.94889,5.39121
O,11.98821,11.98821,8.5662
H,11.1903,12.26079,9.01927
H,12.26079,11.1903,9.01927
O,9.64929,13.0713,9.64929
H,8.97274,13.09949,8.97274
H,9.83821,13.99046,9.83821
O,7.66071,13.0713,7.66071
H,8.03033,12.70938,6.85534
H,7.45618,13.98078,7.44336
O,8.7438,11.98821,5.32179
H,9.65123,11.75854,5.52191
H,8.36822,11.18681,4.9572
O,13.0713,9.64929,9.64929
H,12.71605,9.23914,10.43784
H,13.06858,8.95167,8.99389
O,13.10629,7.6719,7.64989
H,14.01431,7.44697,7.44707
H,12.73716,6.86979,8.01947
O,12.04561,8.76156,5.30462
H,11.82119,9.66486,5.52804
H,12.40739,8.39732,6.1125
O,5.92487,11.38513,11.38513
H,5.68711,10.48536,11.60901
H,5.36855,11.92674,11.94495
O,5.32179,11.98821,8.7438
H,6.12716,12.35783,8.38188
H,5.53914,11.78368,9.65328
O,8.5662,11.98821,11.98821
H,8.92812,12.35783,11.18284
H,7.65672,11.78368,11.77086
O,5.26439,8.76156,12.00537
H,4.56555,8.73596,12.65898
H,4.87305,8.37812,11.22048
O,7.59104,7.62279,13.05734
H,7.87445,6.83584,12.59191
H,6.79843,7.90076,12.59828
O,9.65672,9.64144,13.0466
H,8.95375,8.99183,13.03861
H,9.25796,10.43107,12.68094
O,11.38513,5.92487,11.38513
H,11.62289,6.82464,11.60901
H,11.94145,5.38326,11.94495
O,11.98821,5.32179,8.7438
H,11.77086,5.52632,9.65328
H,11.18284,4.95217,8.38188
O,8.7438,5.32179,11.98821
H,9.66128,5.51484,11.79534
H,8.77794,4.64916,12.66838
O,12.04561,8.54844,12.00537
H,11.25391,8.92365,12.39094
H,12.69038,8.57004,12.7125
O,15.71263,15.71263,15.71263
H,14.79521,15.93879,15.8657
H,15.8657,15.93879,14.79521
O,16.31571,16.31571,13.0713
H,16.71554,15.53098,12.69638
H,17.01369,16.97059,13.05766
O,13.0713,16.31571,16.31571
H,12.71622,16.72167,15.52492
